Tweet #,Angry,Bored,Excited,Fear,Happy,Negative,Neutral,Positive,Sad,Sarcastic
1,0.33035439,0.191215747,0.073397194,0.160128465,0.04716849,0.83,0.149,0.021,0.197735714,0.63149481
2,0.770339421,0,0.041845592,0.049029369,0.041485914,0.943,0.049,0.008,0.097299704,0.399768317
3,0.082902188,0.040597932,0.126017566,0.382833107,0.145361984,0.18,0.639,0.181,0.222287224,0.636646911
4,0.21212546,0.099158942,0.141654168,0.123326102,0.149458442,0.822,0.154,0.024,0.274276885,0.431438041
5,0.256015157,0.039798969,0.108493958,0.064073141,0.452872343,0.608,0.253,0.139,0.078746433,0.259831327
6,0.211192613,0.313262437,0.100942124,0.173186728,0.040114287,0.676,0.262,0.063,0.161301811,0.611847799
7,0.152233233,0.420268653,0.138128732,0.099576285,0.115024659,0.416,0.312,0.273,0.074768439,0.50190038
8,0.642166577,0.047800102,0.060937914,0.082964189,0.027940199,0.977,0.018,0.005,0.138191018,0.457268571
9,0.308390936,0.107203138,0.109692375,0.177768999,0.080975839,0.493,0.408,0.099,0.215968712,0.637763287
10,0.248284571,0.24234497,0.075389804,0.212518106,0.043386815,0.743,0.229,0.028,0.178075735,0.600768148
11,0.222007269,0.075562845,0.158426633,0.186441498,0.185930151,0.388,0.352,0.26,0.171631605,0.410285881
12,0.221637561,0.027890595,0.209318945,0.164976549,0.265715491,0.148,0.405,0.447,0.11046086,0.304139269
13,0.149469631,0.165301221,0.138218663,0.26229839,0.121314798,0.523,0.376,0.101,0.163397297,0.571210492
14,0.582462189,0.038662651,0.05363637,0.128558832,0.029461468,0.794,0.167,0.039,0.167218491,0.513625048
15,0.366072175,0.121135274,0.05996444,0.163035344,0.036943966,0.826,0.133,0.042,0.2528488,0.679696925
16,0.163195407,0.065757213,0.248273518,0.193677746,0.266695528,0.142,0.277,0.581,0.062400589,0.303415911
17,0.355127685,0.089466454,0.07531814,0.176296937,0.07908933,0.941,0.05,0.009,0.224701454,0.592156084
